code,Unused?,glb,eng,epo,deu,fra,rus,spa,zho,nld,fry,por
translation aide title,FALSE,,Translation Aide,Tradukohelpilo,,Aide à la traduction,,Asistente de traducción,,,,
translation aide description,FALSE,,Experimental translation aide. Enter Globasa text and this tool will look up each word. Good for getting the translation for each word in an entire sentence or paragraph at once.,Eksperimenta traduka helpilo. Entajpu tekston en Globasa lingvo kaj la ilo serĉos ĉiujn vortojn. Bona ilo por tuj ekhavi tradukon de ĉiuj vortoj en frazo aŭ paragrafo en unu fojo. ,,En phase expérimentale. Saisissez un texte en globasa et cet outil recherchera les traductions de chaque mot. C’est un bon moyen d’avoir toutes les traductions au sein d’une phrase ou d’un paragraphe en une seule fois.,,Asistente de traducción experimental. Introduzca el texto en Globasa y esta herramienta buscará cada palabra. La herramienta sirve para obtener la traducción de cada palabra en una oración o párrafo completo a la vez. ,,,,
translation aide translate button,FALSE,,Get translations,Ekhavi tradukojn,,Obtenir les traductions,,Obtener traducciones,,,,
ipa converter title,FALSE,,IPA Converter,Konvertilo al IFA,,,,Convertidor de AFI,,,,
ipa converter description,FALSE,,Convert Globasa text into IPA for text-to-speech applications.,Konvertu Globasan tekston al IFA por teksto-al-parolaj aplikoj.,,,,Convierta texto en Globasa en AFI para aplicaciones de texto a voz.,,,,
ipa converter instructions,FALSE,,Enter the Globasa text below and click convert for IPA:,,,,,,,,,
ipa converter input placeholder,FALSE,,Enter Globasa text here.,,,,,,,,,
ipa converter button,FALSE,,Convert to IPA,,,,,,,,,
ipa converter-ssml button,FALSE,,Convert to SSML,,,,,,,,,
ipa converter output label,FALSE,,Text in IPA:,,,,,,,,,
ipa converter ipa placeholder,FALSE,,IPA transliteration will appear here.,,,,,,,,,
Search view,FALSE,,,,,,,,,,,
search result title,FALSE,,Search Results,Serĉorezultoj,,Résultats de recherche,,Resultados de busqueda,,,,
no matches found,FALSE,,No words match your search.,Neniu vorto kongruis kun via serĉo.,,Aucun mot ne correspond à votre recherche.,,Ninguna palabra coincide con su búsqueda. ,,,,
index view,FALSE,,,,,,,,,,,
Feedback View,FALSE,,,,,,,,,,,
feedback title,FALSE,,Feedback / Report,Reteja atentigo,,Commentaires,,Comentario / Reporte,,,,
email?,FALSE,,Your email:,Via retpoŝtadreso:,,Votre mél :,,Su dirección de correo electrónico,,,,
subject?,FALSE,,Subject:,Temo:,,Sujet :,,Asunto,,,,
message?,FALSE,,Your message:,Via mesaĝo:,,Votre courriel :,,Mensaje,,,,
feedback send button,FALSE,,Send,Sendi,,Envoyer,,Enviar,,,,
feedback site error,FALSE,,Website tech error,Teknologia eraro,,Erreur sur le site internet,,Error de tecnología,,,,
feedback lang sug,FALSE,,Website content error,Enhava eraro,,Suggestion linguistique,,Error de contenido,,,,
feedback other,FALSE,,Other / not sure,Alia / ne certa,,Autre / incertain,,Otro ,,,,
Alphabetical Dictionary View,FALSE,,,,,,,,,,,
browse title,FALSE,,Alphabetical Dictionary,Alfabeta Vortaro,,,,Diccionario alfabético,,,,
browse filters header,FALSE,,Filters,Filtroj,,,,Filtros,,,,
browse filter by letter header,FALSE,,First letter,Unua litero,,,,Primera letra,,,,
browse filter by class header,FALSE,,Word class,,,,,,,,,
browse filter by category header,TRUE,,Entry Category,Era Kategorio,,,,Categoría de entrada,,,,
Linguistic terms,FALSE,,,,,,,,,,,
affix,FALSE,,affix,afikso,,,,afijo,,,,
affixes,TRUE,,affixes,,,,,,,,,
root,FALSE,,root word,radiko,,,,palabra raíz,,,,
roots,TRUE,,roots,,,,,,,,,
proper noun,FALSE,,proper word,propra vorto,,,,palabra propia,,,,
proper word,FALSE,,proper word,propra vorto,,,,palabra propia,,,,
proper nouns,TRUE,,proper nouns,,,,,,,,,
phrase,FALSE,,phrase,frazero,,,,frase,,,,
phrases,FALSE,,phrases,,,,,,,,,
derived word,FALSE,,derived word,kunmetaĵo,,,,palabra derivada,,,,
derived words,TRUE,,derived,,,,,,,,,
category all,FALSE,,all,ĉiuj,,,,todas,,,,
letter all,FALSE,,all,ĉiuj,,,,todas,,,,
Site Configuration Strings,,,,,,,,,,,,
,,,,,,,,,,,,
site_name_full,,,Menalari fe Globasa,Menalari fe Globasa,,,,Menalari fe Globasa,,,,
site_name_short,,,Globasa,Globasa,,,,Globasa,,,,
site_slogan,,,Basa de Globayen,Basa de Globayen,,,,Basa de Globayen,,,,
site_owner,,,Team Globasa,Team Globasa,,,,Team Globasa,,,,
site_lang,,,Globasa,Globasa,,,,Globasa,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
