Word,Category,WordClass,TranslationEng,TranslationEpo,TranslationSpa,Tags,SearchTermsEng,TransNote,LexiliAsel,Hyphenation,Synonyms,Antonyms,slug_mod,OfficialWord,TranslationDeu,TranslationFra,TranslationRus,TranslationZho,TranslationHin,TranslationAra,Etymological support,
akran,root,b,"n: scorpion, _Scorpiones_",s: skorpio,"s: escorpión, alacrán",hewan,,,"Espanisa (alacrán), Pilipinasa (alakdan), Hindi (अकरब “akrab”), Arabisa (عَقْرَب “akrab”), Turkisa (akrep), Parsisa (عقرب “akrab”), Swahilisa (akarabu)",,,,,TRUE,S: Skorpion,n: scorpion,сущ: скорпион,名: 蝎子,सं: बिच्छू,اسم: عَقْرَب,,
akrobati,root,b,"n: acrobatics (_art, skill, performance_)",s: akrobatado,s: acrobacia,,,,"Englisa (acrobatics), Espanisa (acrobacia), Fransesa (acrobatie), Rusisa (акробатика “akrobatika”), Doycisa (Akrobatik), Indonesisa (akrobatik), Pilipinasa (akrobatika), Turkisa (akrobasi), Parsisa (آکروباتیک “âkrobâtik”)",,,,,TRUE,S: Akrobatik,n: acrobatie (_art_),сущ: акробатика,名: 杂技,सं: कलाबाज़ी,اسم: بَهْلَوَانِيَّة، فَنّ البَهْلَوَان,,
akrobatixey,derived,b,n: acrobatics (_gymnastic moves_),s: akrobataĵo,s: acrobacia,,,,akrobati + -xey,,,,,FALSE,"S: Akrobatikfigur, Akrobatikübung",n: acrobatie (_figure_),сущ: акробатические трюки,名: 杂技动作,सं: कलाबाज़ी के करतब,اسم: حَرَكَات بَهْلَوَانِيَّة,,
akrobatiyen,derived,b,n: acrobat,s: akrobato,s: acróbata,,,,akrobati + -yen,,,,,TRUE,S: Akrobat,n: acrobate,сущ: акробат,名: 杂技演员,सं: कलाबाज़,اسم: بَهْلَوَان,,
akse,root,b,"n: axis, axle",s: akso,s: eje,"tul, matemati",,,"Englisa (axis), Espanisa (eje), Fransesa (axe), Rusisa (ось “os”), Doycisa (Achse), Italisa (asse), Pilipinasa (axis, ehe), Hindi (अक्ष “akx”), Telugusa (అక్షము “akxamu”), Turkisa (eksen), Parsisa (آسه “ase”)",,,,,TRUE,S: Achse,"n: axe, essieu",сущ: ось,名: 轴,"सं: अक्ष, धुरी",اسم: مِحْوَر,,
aksento,root,b,n: accent (_sociolinguistics_),s: akĉento (_sociolingvistiko_),s: acento,basalogi,,,"Englisa (accent), Espanisa (acento), Fransesa (acento), Rusisa (акцент “aktsent”), Doycisa (Akzent), Indonesisa (aksen), Turkisa (aksan), Parsisa (اکسنت “aksent”)",,,,,TRUE,S: Akzent (_Soziolinguistik_),n: accent (_sociolinguistique_),сущ (социолингвистика): акцент,名: 口音,सं: लहजा,اسم: لَكْنَة، لَهْجَة,,
aksetyan,derived,b,n: coordinate,s: koordinato,s: coordenada,matemati,,,akse + tyan,,,,,FALSE,S: Koordinate,n: coordonnée,сущ: координата,名: 坐标,सं: निर्देशांक,اسم: إِحْدَاثِيَّة,Swahilisa (majiranukta),
aksyoma,root,b,"n: axiom, postulate","s: aksiomo, postulato","s: axioma, postulado","palalogi, sofilogi",,,"Englisa (axiom), Espanisa (axioma), Fransesa (axiome), Rusisa (аксиома “aksioma”), Doycisa (Axiom), Indonesisa (aksioma), Parsisa (آکسیوم “aksiyom”), Turkisa (aksiyom)",,,,,FALSE,"S: Axiom, Postulat","n: axiome, postulat","сущ: аксиома, постулат","名: 公理, 公设","सं: स्वयंसिद्ध, अभिधारणा",اسم: بَدِيهِيَّة، مُسَلَّمَة,,
aksyonkadam,derived,b,n: procedure,s: proceduro,s: procedimiento,,,,aksyon + kadam,,,,,FALSE,"S: Verfahren, Prozedur",n: procédure,сущ: процедура,"名: 程序, 步骤","सं: प्रक्रिया, कार्यविधि",اسم: إِجْرَاء,,
akxu,root,b,n: vice (_morality_),s: malvirto,s: vicio,sofilogi,,,"Putunhwa (恶习 “exi”), Niponsa (悪習 “akuxu”), Koreasa (악습 “aksup”)",,,fadila,,TRUE,"S: Untugend, Laster",n: vice (_morale_),сущ: порок,"名: 恶习, 恶德","सं: बुराई, दुर्गुण",اسم: رَذِيلَة,,
albatros,root,b,"n: albatross, _Diomedeidae_",s: albatroso,s: albatros,piu,,,"Englisa (albatross), Espanisa (albatros), Fransesa (albatros), Rusisa (альбатрос “albatros”), Doycisa (Albatros), Indonesisa (albatros), Pilipinasa (albatros), Niponsa (アルバトロス “arubatorosu”), Telugusa (ఆల్బట్రాస్ “albatras”), Parsisa (آلباتروس “albatros”), Swahilisa (albatrosi)",,,,,TRUE,S: Albatros,n: albatros,сущ: альбатрос,名: 信天翁,सं: एल्बाट्रॉस,اسم: قَطْرَس,,
alegori,root,b,n: allegory,s: alegorio,s: alegoría,palalogi,,,"Englisa (allegory), Espanisa (alegoría), Fransesa (allégorie), Rusisa (аллегория “allegoriya”), Doycisa (Allegorie), Indonesisa (alegori), Pilipinasa (alegoriya), Niponsa (アレゴリー “aregori”), Turkisa (alegori), Koreasa (알레고리 “allegori”)",,,,,TRUE,S: Allegorie,n: allégorie,сущ: аллегория,"名: 寓言, 讽喻",सं: रूपक,اسم: قِصَّة رَمْزِيَّة، اِسْتِعَارَة تَمْثِيلِيَّة,,
alergi,root,b,n: allergy,s: alergio,s: alergia,medis,,,"Englisa (allergy), Fransesa (allergie), Doycisa (Allergie), Rusisa (аллергия “allergiya”), Espanisa (alergia), Hindi (एलर्जी “elarjī”), Turkisa (alerji), Indonesisa (alergi), Pilipinasa (alerdyi), Arabisa (أَرَجِيَّة “ʾarajiyya”), Parsisa (آلرژی “âlerži”), Niponsa (アレルギー “arerugī”), Koreasa (알레르기 “allereugi”)",,,,,TRUE,S: Allergie,n: allergie,сущ: аллергия,名: 过敏,सं: एलर्जी,اسم: حَسَاسِيَّة,,
alga,root,b,"n: alga, algae",s: algo(j),s: alga,bio,,,"Englisa (alga), Espanisa (alga), Fransesa (algue), Doycisa (Alge), Indonesisa (alga), Turkisa (alg), Parsisa (آلگ “alg”), Swahilisa (alga)",,,,,TRUE,S: Alge(n),n: algue,сущ: водоросль(и),"名: 藻类, 水藻","सं: शैवाल, काई",اسم: طُحْلُب، طَحَالِب,,
algafutru,derived,b,n: lichen,"s: liĥeno, likeno",s: liquen,bio,,,alga + futru,,,,,FALSE,S: Flechte,n: lichen,сущ: лишайник,名: 地衣,सं: लाइकेन,اسم: حَزَاز,,
algoritma,root,b,n: algorithm,s: algoritmo,s: algoritmo,matemati,,,"Englisa (algorithm), Espanisa (algoritmo), Fransesa (algorithme), Rusisa (алгоритм “algoritm”), Doycisa (Algorithmus), Indonesisa (algoritme), Pilipinasa (algoritmo), Hindi (अल्गोरिद्म “algoridma”), Arabisa (خُوَارِزْمِيَّة “huwarizmiya”), Niponsa (アルゴリズム “arugorizumu”), Telugusa (అల్గోరిథం “algoritam”), Koreasa (알고리즘 “algorijum”), Turkisa (algoritma), Parsisa (الگوریتم “algoritm”), Swahilisa (algorithimu)",,,,,TRUE,S: Algorithmus,n: algorithme,сущ: алгоритм,名: 算法,"सं: एल्गोरिथम, कलन विधि",اسم: خُوَارِزْمِيَّة,,
aligator,root,b,"n: alligator, _Alligatorinae_",s: aligatoro,"s: caimán, aligátor",retilyen,,,"Englisa (alligator), Espanisa (aligátor), Fransesa (alligator), Rusisa (аллигатор “alligator”), Doycisa (Alligator), Indonesisa (alligator), Pilipinasa (aligeytor), Arabisa (قَاطُور “katur”), Niponsa (アリゲーター “arigeta”), Tamilsa (அலிகேட்டர் “aliketar”), Turkisa (alligator), Koreasa (앨리게이터 “eligeito”), Swahilisa (aligatori, aligeita)",,,,,TRUE,S: Alligator,n: alligator,сущ: аллигатор,名: 短吻鳄,सं: एलिगेटर,اسم: أَلِيجَاتُور، تِمْسَاح أَمْرِيكِيّ,,
alimlogi,derived,b,n: pedagogy,"s: pedagogio, instruscienco, edukarto",s: pedagogía,eskolya,,,alim + logi,,,,,FALSE,"S: Pädagogik, Erziehungswissenschaft",n: pédagogie,сущ: педагогика,名: 教育学,सं: शिक्षाशास्त्र,اسم: عِلْم التَّرْبِيَة، عِلْم التَّدْرِيس,,
alimxey,derived,b,n: teaching (_countable_),s: instruaĵo,s: enseñanza,eskolya,,,alim + -xey,,,,,TRUE,S: Lehre,n: enseignement (_dénombrable_),"сущ: учение, наставление","名: 教诲, 教导","सं: उपदेश, शिक्षा",اسم: تَعَالِيم، عَقِيدَة,,
alimyen,derived,b,"n: teacher, instructor, professor","s: instruisto, instruanto","s: profesor, instructor, maestro",eskolya,,,alim + -yen,,,,,TRUE,"S: Lehrer, Lehrkraft","n: enseignant, instructeur, professeur","сущ: учитель, преподаватель","名: 老师, 教师","सं: शिक्षक, अध्यापक",اسم: مُعَلِّم، مُدَرِّس، أُسْتَاذ,,
