code,Delete?,glb,eng,epo,deu,fra,rus,spa,zho,nld,fry,por
fikso (fik) - affix (afx),FALSE,fikso (fik) - affix (afx),,,,,,,,,,
lefefikso (lfik) - prefix (pfx),FALSE,lefefikso (lfik) - prefix (pfx),,,,,,,,,,
xafefikso (xfik) - suffix (sfx),FALSE,xafefikso (xfik) - suffix (sfx),,,,,,,,,,
Phrases,FALSE,Phrases,,,,,,,,,,
jumlemon (jm) - phrase (phrs),FALSE,jumlemon (jm) - phrase (phrs),,,,,,,,,,
plasilexili jumlemon (p jm) - prepositional phrase (prep phrs),FALSE,plasilexili jumlemon (p jm) - prepositional phrase (prep phrs),,,,,,,,,,
jumlemonli plasilexi (jm p) - phrasal preposition (phrs prep),FALSE,jumlemonli plasilexi (jm p) - phrasal preposition (phrs prep),,,,,,,,,,
falelexili jumlemon (f jm) - verb phrase (v phrs),FALSE,falelexili jumlemon (f jm) - verb phrase (v phrs),,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
,FALSE,,,,,,,,,,,
