Word	Category	WordClass	TranslationEng	SearchTermsEng	StatusEng	TranslationEpo	TranslationSpa	TranslationDeu	Synonyms	Antonyms	Example	Tags	LexiliAsel	LexiliEstatus	TranslationFra	TranslationRus	TranslationZho
alpaka	root	n	_**n**_ alpaca, _Lama pacos_			alpako	alpaca					hewan	Englisa (alpaca), Espanisa, Fransesa (alpaga), Rusisa (альпака “alpaka”), Doycisa (Alpaka), Indonesisa, Pilipinasa, Hindisa (अलपाका “alpaka”), Arabisa (أَلْبَكَة “albaka”), Niponsa (アルパカ “arupaka”), Turkisa (alpaka), Hangusa (알파카 “alpaka”), Vyetnamsa (alpaca), Parsisa (آلپاکا “alpaka”), Swahilisa (alpaka)				
alucina	root	n/f.oro.a	_**n**_ hallucination; _**v.ambi.a**_ hallucinate			halucino; halucini	alucinación; alucinar						Englisa (hallucination, hallucinate), Espanisa (alucinación, alucinar), Fransesa (hallucination, halluciner), Rusisa (галлюцинация “galyutsinatsiya”), Doycisa (Halluzination, halluzinieren), Indonesisa (halusinasi), Pilipinasa (halusinasyon), Turkisa (halüsinasyon)				
aluminyum	root	n	_**n**_ aluminum, aluminium			aluminio	aluminio					kimikali monlari	Englisa (aluminium, aluminum), Espanisa (aluminio), Fransesa (aluminium), Rusisa (алюминий “aljumíni”), Doycisa (Aluminium), Hindisa (एल्युमिनियम “elyuminiyam”), Arabisa (أَلُومِنْيُوم “aluminyum”), Indonesisa (aluminium), Niponsa (アルミニウム “aruminiumu”), Telugusa (అల్యూమినియం “alyuminyam”), Turkisa (alüminyum), Hangusa (알루미늄 “aluminyum”), Parsisa (آلومینیم “âluminiyom”), Swahilisa (alumini), Pilipinasa (aluminyo, aluminum)				
am	root	par	_**part**_ _imperative verb marker_		reviewed	-u, _markilo de imperativa verbo_	_marcador del verbo imperativo_						Am oko _amiru_.	leferesmi			
Amara	root	n	_**n**_  Amhara region		reviewed	Amhara Regiono	Región de Amhara					geografi	Amarasa (አማራ “Āmara”)	leferesmi			
amaro	root	t	bitter (_taste_)			amara; amare	amargo						Espanisa (amargo), Fransesa (amer), Italisa (amaro), Arabisa (مَرَّ “marra”)				
amber	root	n	_**n**_ ambergris			ambro	ámbar						Englisa (ambergris), Espanisa (ámbar gris), Fransesa (ambre gris), Rusisa (амбра “ambra”), Doycisa (Ambra, Amber), Indonesisa (ambergris), Arabisa (عَنْبَر “anbar”), Niponisa (アンバーグリス “ambagurisu”), Telugusa (అంబరు “ambaru”), Turkisa (amber), Parsisa (عنبر “anbar”), Swahilisa (ambari)				
ambisi	root	n/f.oj	_**n**_ ambition; _**v.tr**_ aspire (to)			ambicio, aspiro; ambicii, aspiri	ambición; aspirar (a)						Englisa (ambition), Fransesa, Espanisa (ambición), (Rusisa амбиция “ambicija”), Indonesisa (ambisi), Magyarsa (ambíció)				
ameba	root	n	_**n**_ amoeba			amebo	ameba, amiba						Doycisa (Amöbe), Englisa (amoeba), Espanisa (ameba), Fransesa (amibe), Rusisa (амёба “amyoba”), Putunhwa (阿米巴 “āmǐbā”), Niponsa (アメーバ “amēba”), Hangusa (아메바 “ameba”), Vyetnamsa (amip), Hindisa (अमीबा “amībā”), Arabisa (أَمِيبَا “ʾamībā”), Swahilisa (amiba), Parsisa (امیب “amib”), Turkisa (amip), Indonesisa (ameba, amuba, amoeba), Pilipinasa (amoeba, ameba)				
amen	root	il	_**interj**_ amen		reviewed	amen	amén					dini	Ivrisa (אָמֵן‎ “ʾāmēn”), Englisa (amen), Fransesa (amen), Doycisa (amen), Rusisa (аминь “amin”), Espanisa (amén), Hindisa (आमेन “āmen”, आमीन “āmīn”), Putunhwa (阿门 “āmén”), Niponsa (アーメン “āmen”), Hangusa (아멘 “amen”), Arabisa (آمْيْن‎ “ʾāmyn”), Parsisa (آمین “âmin”), Indonesisa (amin), Turkisa (amin), Pilipinasa (amen)	leferesmi			
